Lot Area,Bedroom AbvGr,Year Built,1st Flr SF,2nd Flr SF,Full Bath,Bsmt Full Bath,Garage Cars,Garage Area,TotalSF,SalePrice
12182,3,2005,1541,0,2,0,2,756,3921,220000
11520,3,2005,1698,0,2,0,3,576,3504,275000
14122,3,2005,1822,0,2,0,3,484,2740,259000
10171,3,2004,1535,0,2,0,2,474,2390,214000
12919,2,2009,2364,0,2,1,3,430,2648,611657
6371,2,2009,1358,0,2,1,2,437,2290,224000
14300,3,2003,2696,0,2,1,3,430,2525,500000
13650,3,2002,1687,563,2,1,3,400,1758,320000
7658,2,2005,1752,0,2,1,2,440,2820,319900
7132,2,2006,1370,0,2,0,2,433,2580,205000
2628,2,2003,764,862,2,0,2,400,1814,175500
18494,3,2005,1324,0,2,0,2,434,2919,199500
3203,2,2006,1145,0,2,0,2,779,3992,160000
3182,2,2004,1269,0,2,0,2,962,4104,192000
13300,3,2004,744,630,2,1,2,527,3440,184500
7851,4,2002,860,1100,2,1,2,712,4085,216500
8577,3,2004,847,886,2,0,2,671,3422,185088
7750,3,2000,774,656,2,0,2,486,3034,180000
9505,3,2001,884,1151,2,0,2,666,5271,222500
14774,4,1999,1422,1177,2,0,3,880,3190,333168
17433,4,1998,1645,830,2,0,3,676,2436,355000
10593,3,1996,1720,0,2,1,2,614,2303,260400
12256,3,1994,1500,1122,2,1,2,750,3132,325000
11764,4,1999,1164,1106,2,0,3,678,2938,290000
16770,4,1998,1195,644,2,0,2,528,2936,221000
14720,4,1995,2053,1185,2,1,3,618,3040,410000
8987,2,2005,1595,0,2,0,3,484,2490,221500
9215,2,2009,1218,0,2,0,2,463,3058,204500
8640,3,2009,764,783,2,0,2,264,1846,215200
9000,3,2008,1566,0,2,1,2,462,2900,262500
12552,3,2004,991,956,2,0,2,264,1836,254900
10440,2,2005,1468,0,2,1,2,264,1496,271500
10142,4,2004,956,1128,2,1,2,457,2740,233000
11920,3,2004,831,828,2,0,2,480,2137,181000
8880,3,1994,1222,888,2,1,2,476,2214,205000
8012,2,1980,923,0,2,0,1,429,1828,143000
11218,3,1992,1055,790,2,0,2,539,1902,189000
7892,2,1979,918,0,2,0,1,576,2264,99500
7175,2,1984,752,0,1,1,1,336,1788,125000
9453,3,1993,1014,730,2,0,2,280,1782,194500
9672,3,1984,1097,0,2,0,2,308,2080,152000
8400,3,1980,888,676,2,0,2,260,2080,171000
9800,2,1920,1012,0,1,0,1,461,2702,67500
8930,4,1978,1318,584,2,0,2,564,2673,112000
11782,3,1961,1155,0,1,1,2,762,3580,148000
8450,3,1965,894,0,1,1,1,713,3615,138500
9819,3,1967,900,0,1,0,1,506,2976,122000
7500,3,1963,1040,0,1,1,1,588,2520,133000
6897,3,1962,1040,0,1,1,1,480,1800,127000
15410,3,1974,1494,0,2,1,2,480,1800,169000
10186,3,1992,1061,862,2,1,2,480,1800,190000
13143,4,1993,1251,1098,2,1,3,480,1836,362500
11134,4,1992,1402,823,2,1,3,484,2948,285000
4835,2,2004,1488,0,2,1,2,440,2329,260000
3515,2,2004,840,840,2,0,2,440,2268,190000
3215,2,2004,600,600,2,0,2,484,2112,155000
3182,2,2004,600,600,2,0,2,496,1610,151000
2544,2,2004,600,600,2,1,2,852,3060,149500
2544,2,2005,600,636,2,1,2,592,2823,152000
4403,2,2009,1478,0,2,1,2,484,1516,222000
2117,3,2000,769,804,2,0,2,484,2452,177500
2980,2,2000,756,756,2,1,2,475,2204,177000
2572,3,1999,696,720,2,1,2,596,2984,155000
2403,2,2003,530,550,2,0,2,535,3658,147110
12853,1,2010,1418,0,1,1,3,660,3775,267916
7379,3,2000,975,873,2,1,2,480,3220,254000
4420,1,1980,788,0,1,1,2,678,3115,155000
3880,1,1978,1226,0,1,1,2,496,2694,206000
13517,3,1976,725,754,2,0,2,676,2542,130500
8000,3,2002,1492,0,2,1,2,441,2360,230000
10456,4,1967,1829,0,2,1,2,490,2464,218500
10791,4,1993,1280,1215,2,1,2,528,2656,243500
10603,3,1977,1610,0,2,1,2,0,2175,205000
18837,3,1978,1287,604,3,0,2,504,2418,212500
10421,3,1988,980,734,2,0,2,517,3020,196500
9360,3,1972,1381,0,1,1,2,480,2308,197500
9600,4,1971,930,715,1,0,2,484,2304,171000
9600,3,1966,1232,0,1,1,2,480,1990,142250
9790,3,1963,1328,0,1,1,2,0,3456,143000
9320,3,1959,1225,0,1,1,0,240,2156,128950
9900,3,1966,1209,0,1,1,2,400,3601,159000
9680,3,1967,1510,0,2,1,2,470,2338,178900
10600,3,1964,1131,644,2,0,2,0,1716,136300
14112,3,1964,1152,0,1,1,2,0,2034,180500
8800,3,1963,1054,0,1,1,2,280,2119,137500
13260,6,1962,1728,0,2,2,0,364,2676,84900
9717,2,1950,1078,0,1,1,1,244,2536,142125
9724,3,1952,1929,532,2,0,2,315,2208,197600
17360,3,1949,1019,537,2,0,2,480,3379,172500
7207,2,1958,858,0,1,1,0,576,4154,116500
5350,3,1940,1306,0,1,0,0,578,3405,76500
9920,3,1954,1063,0,1,1,1,576,3208,128000
9600,3,1955,1520,0,1,1,1,620,2960,153000
7800,2,1954,1268,0,1,0,1,308,2286,132000
11380,2,1966,1128,0,1,1,1,447,3098,178000
11600,5,1960,1105,1169,2,0,2,294,2628,154300
19900,3,1970,2207,0,2,1,2,312,2388,180000
16492,2,1966,1888,0,2,0,2,531,2376,190000
8267,4,1958,1604,0,2,0,2,461,2532,135000
8197,3,2003,1480,0,2,1,2,312,2412,214000
8050,3,1959,1143,0,1,1,1,440,2824,136000
10552,4,1959,1700,0,1,0,2,263,2169,165500
8400,3,1957,1314,0,1,1,1,318,1928,145000
8760,3,1959,1194,0,1,1,1,305,1944,148000
12160,3,1959,1188,0,1,1,2,264,1976,142000
9300,3,1960,1264,0,1,1,2,246,2114,167500
10725,3,1959,1206,0,1,0,1,676,1561,108538
10032,3,1959,1580,0,1,1,2,392,827,159500
8382,3,1956,832,505,1,0,1,490,2172,108000
10950,2,1952,1064,0,1,0,1,308,1872,135000
10895,3,1955,972,0,1,0,1,330,2370,122500
13587,2,1958,988,0,1,1,1,576,2112,119000
7922,3,1953,1057,0,1,1,1,576,2350,109000
7898,2,1920,985,0,1,0,2,564,3688,105000
7200,2,1955,827,0,1,0,1,280,2040,107500
10200,3,1954,1086,0,1,1,2,305,2492,144900
5868,2,1956,936,0,1,1,1,720,2295,129000
17503,3,1948,912,546,1,0,1,576,1800,97500
6979,0,1980,1056,0,0,2,2,440,2232,144000
9830,3,1959,1287,0,1,1,2,484,2350,162000
11275,5,1967,1898,1080,2,0,2,440,2790,242000
8064,3,1948,816,408,1,1,1,442,2595,132000
7500,3,1959,1246,0,1,1,1,240,2553,154000
8520,4,1952,910,475,2,0,2,0,1716,166000
7200,3,1951,900,0,1,0,2,0,1872,134800
10000,3,1962,1116,0,1,0,2,360,2036,160000
7635,3,1960,1175,0,1,0,2,551,2694,148000
9760,2,1963,1395,0,1,1,2,379,2445,192000
7700,4,1966,1051,788,1,0,2,220,1494,155000
4800,3,1900,1157,687,1,1,1,240,1592,80400
8800,3,1910,792,348,1,0,0,484,1852,96500
4485,2,1920,936,0,1,1,0,240,2078,109500
8960,2,1927,1028,0,1,0,2,240,2660,115000
5805,3,1957,1347,0,1,1,2,315,2253,143000
5790,3,1915,840,765,2,0,1,780,1510,107400
4608,2,1945,747,0,1,0,1,484,1344,80000
7200,2,1940,804,0,1,1,1,288,2496,119000
5500,3,1929,926,0,1,1,2,416,2338,130000
6900,3,1938,827,424,1,0,1,624,2614,119000
11851,3,1948,1027,606,1,0,1,0,3096,129000
8239,3,1920,1060,185,1,0,1,923,2148,100000
9656,2,1923,832,0,1,0,2,528,1985,12789
8520,2,1928,720,0,1,0,2,560,3067,105900
9600,3,1900,930,636,2,0,1,624,2208,150000
10800,4,1915,966,686,2,1,1,363,2600,139000
9000,3,1890,1157,1111,3,0,2,315,3176,240000
9045,4,1910,1128,1128,2,0,0,200,1530,76500
7407,2,1957,1236,0,1,1,2,240,1740,149700
7740,3,1910,741,622,1,0,2,576,1768,125500
11340,4,1885,1246,1044,2,0,2,240,2288,122500
10560,2,1922,868,602,1,0,2,312,2196,140750
5830,3,1950,1030,582,1,0,1,624,1568,128500
7793,3,1922,1160,908,1,0,1,480,2464,209500
5000,2,1925,765,0,1,1,1,288,2192,87000
6000,2,1939,608,524,1,1,1,480,2286,134000
6000,3,1940,848,348,1,0,2,572,2850,128000
6360,3,1942,955,498,1,0,1,0,2340,132000
6000,3,1948,780,636,1,0,1,180,1986,139900
6240,2,1936,548,492,1,0,2,516,1632,123900
6240,4,1930,928,608,2,0,2,0,1092,138400
6120,2,1923,1068,0,1,1,1,672,2172,109500
10300,3,1921,902,808,2,0,2,349,3435,140000
8094,4,1915,888,1074,1,0,2,365,3097,149500
12900,3,1912,780,780,1,0,0,180,1913,159900
3068,3,1920,662,662,1,0,1,0,2604,122000
8472,2,1963,816,0,1,1,2,231,1519,110000
5600,3,1930,372,720,2,0,0,0,2591,55000
7630,4,1900,1032,780,2,0,2,450,2536,140000
24090,4,1940,1207,1196,2,0,1,0,1800,244400
15263,3,1959,1675,0,2,0,1,0,3664,173000
10632,3,1917,725,499,1,0,1,0,3536,107500
9900,3,1915,1212,180,1,1,0,504,2078,100000
6001,3,1940,600,319,1,0,1,528,2784,95000
6449,4,1907,942,942,1,0,0,336,1824,93369
6048,2,1910,936,744,2,1,2,270,2120,114900
6342,2,1875,780,240,1,0,0,416,1756,94000
10773,4,1967,1832,0,2,2,0,299,2015,136000
10778,4,1968,1768,0,2,0,0,280,1728,136500
11625,3,1965,1039,0,1,1,2,591,2692,131500
11341,3,1957,1392,0,1,1,2,480,2160,121500
8521,3,1967,912,0,1,0,1,440,2058,125000
8246,3,1968,1060,0,1,1,1,533,3566,154000
7800,3,1966,892,0,1,1,1,690,2903,137900
9364,4,1969,663,689,1,0,1,440,1416,158000
7832,2,1968,864,0,1,1,1,436,2134,137250
7424,3,1978,1373,0,1,1,2,586,2856,160250
11227,4,1968,720,720,1,0,2,522,3098,163000
11616,3,1978,672,714,2,0,2,480,2582,158900
14000,3,1996,1306,954,2,1,2,366,1293,328000
20062,1,1977,1483,0,1,1,2,467,1737,270000
9259,2,1927,756,0,1,0,2,596,2288,85000
9600,2,1950,1067,0,2,0,2,209,1925,128000
23595,0,1979,1332,192,0,2,2,366,2344,260000
17082,4,1978,1117,864,2,1,2,460,2424,230000
18600,4,1938,1052,558,2,0,1,572,3016,124000
10625,2,1920,835,0,1,0,1,504,2548,83000
11479,3,1950,1074,0,1,1,1,308,930,144500
9571,3,1956,1144,0,1,1,1,476,2473,129000
9350,3,1947,1169,0,1,0,1,528,2866,127000
9525,3,1954,1172,0,1,1,1,1017,2748,128000
10420,3,2009,1212,0,2,0,2,574,2999,186000
17485,1,2009,1508,0,1,1,2,564,1932,308030
11200,3,1964,1298,0,2,0,2,776,3388,114000
11100,2,1946,930,0,1,0,1,632,2395,84900
9206,3,1985,977,755,2,0,2,740,2452,178000
11980,1,1987,1433,0,1,1,2,615,2444,270000
12361,3,1993,964,838,2,0,4,594,4895,218000
9938,3,1993,1062,887,2,1,2,484,2121,236000
9069,2,1992,996,0,1,1,2,440,2062,147000
10475,3,2008,1694,0,2,0,3,580,1835,245350
6762,2,2006,1208,0,2,1,2,513,2570,206000
10402,3,2009,1226,0,2,0,3,523,2486,198900
7360,2,2010,1222,0,2,0,2,308,2052,187000
12376,5,1990,1699,1523,3,1,3,299,2081,320000
14235,3,1900,831,614,2,0,2,308,1788,138500
8816,3,1971,1052,0,1,1,2,484,1752,155000
11105,2,1996,965,0,1,1,2,850,3956,159000
9337,3,1997,892,800,2,0,2,670,3182,191000
8750,3,1998,804,878,2,0,2,613,2770,200500
15240,3,1977,1026,0,1,1,1,621,3138,150000
10900,3,1977,689,703,1,0,1,598,3310,161750
10650,3,1976,894,0,1,1,1,420,1696,128200
7480,3,1972,876,0,1,1,2,420,1696,127000
10389,3,2003,1978,0,2,1,3,502,3325,318000
11423,3,2001,1601,0,2,1,2,606,2957,272000
9548,3,2003,941,888,2,1,2,494,2828,237000
9375,4,1997,1044,1054,2,0,2,240,640,240000
12137,3,1998,1661,0,2,0,2,319,1373,224900
4435,1,2003,848,0,1,1,2,0,1664,143750
4426,1,2004,848,0,1,1,2,336,2392,143000
10635,3,2003,1668,0,2,1,2,480,1864,232000
8400,3,2004,1484,0,2,1,2,352,2104,213000
8773,3,2004,1414,0,2,0,2,672,2146,185500
8777,2,1945,640,0,1,0,1,0,1920,84900
8842,3,1954,992,0,1,0,1,440,2242,155891
9825,4,1965,1664,0,2,0,0,220,2222,100000
10044,3,1968,1196,0,1,1,1,280,1596,144000
11792,2,1948,792,328,1,0,2,364,2742,64000
6305,3,1975,1096,0,1,1,1,260,2403,125200
7819,3,1976,1117,0,1,1,2,216,2453,107000
6410,3,1958,960,0,1,0,0,200,1728,90000
8546,2,2003,1121,0,2,0,2,308,2717,140000
8741,3,1945,798,689,1,0,1,399,1712,113000
12180,2,1941,672,252,1,1,1,0,2650,80000
8562,4,1957,1526,0,1,0,1,0,2560,144500
4853,2,1924,1296,0,2,0,1,336,3251,104000
6858,4,1915,841,806,1,1,1,312,3661,128000
8212,2,1914,864,0,1,1,1,484,3209,58500
5000,3,1924,1026,665,2,0,1,252,3492,127000
7890,2,1939,856,0,1,1,2,567,3804,126000
7200,6,1967,862,1788,3,0,0,473,2075,160000
9839,3,1931,894,772,1,1,0,598,2016,100000
9638,4,1919,1699,748,2,0,1,531,2382,169000
10452,4,1941,1225,908,1,1,1,484,3302,257500
15600,5,1950,1102,1075,2,0,2,240,1950,215000
9042,4,1941,1188,1152,2,0,1,200,1020,266500
17500,3,1959,1902,0,2,1,2,625,1736,335000
19645,3,1994,896,756,2,1,2,528,1826,203135
3907,1,1989,1034,0,1,1,2,384,2037,185000
3907,2,1989,1191,0,2,0,2,504,1584,162500
15602,1,1959,1801,0,2,1,2,330,1708,289000
5436,3,1922,796,358,1,1,1,525,3240,125500
8154,1,1941,540,0,1,0,1,741,2965,82000
9140,2,1921,727,380,1,0,1,473,2528,110000
7500,2,1920,698,430,1,0,2,573,3120,68400
8712,2,1900,859,319,1,0,1,888,2046,102776
8712,2,1952,1044,0,1,0,2,776,4006,55993
8712,3,1896,952,0,1,0,1,572,2434,50138
3811,2,2004,1646,0,2,1,2,660,2682,246000
11050,3,1998,1036,880,2,1,3,520,2428,254900
9620,3,1977,1285,0,2,0,2,400,1828,190000
9196,3,2003,1560,0,2,0,2,680,2742,201000
12328,3,1976,1034,0,1,1,3,510,2711,169900
12760,5,1976,2048,0,3,0,2,431,2875,170000
57200,3,1948,1687,0,1,1,2,746,4020,160000
11896,3,2008,1346,0,2,1,3,528,2332,220000
9803,2,2009,1214,0,2,0,2,624,2860,179781
9802,3,2006,744,700,2,0,2,0,2736,174000
12003,4,2009,774,1194,2,0,3,686,2688,269500
11316,4,2002,824,1070,2,1,2,286,1638,214900
14191,4,2002,993,915,2,0,2,253,1890,202900
13214,3,2008,2018,0,2,0,3,336,1648,378500
15300,2,1965,1264,0,1,1,2,0,1638,169000
10114,3,2004,1430,0,2,0,2,0,1260,173500
9400,4,1971,912,912,2,0,0,0,1638,139000
11875,3,1999,1344,0,2,0,2,286,1638,166500
1974,3,1973,546,546,1,0,1,352,1738,83500
2394,2,1973,945,0,1,1,1,312,2376,119500
2592,3,1976,536,576,1,0,1,495,1666,85000
1476,3,1970,546,546,1,0,0,616,3648,76000
1491,1,1972,630,0,1,1,0,576,1898,75500
1900,3,1970,546,546,1,0,0,275,2343,88250
1890,3,1972,546,546,1,0,1,482,3482,85500
6953,3,1971,874,0,1,0,1,616,2949,130000
26142,3,1962,1188,0,1,0,1,502,1764,157900
12887,2,1984,833,0,1,1,2,528,2868,149900
7700,4,1985,1216,1216,4,0,2,538,4656,159000
10475,3,1991,624,650,1,0,2,470,2553,136000
10544,5,1969,864,615,2,0,1,632,3291,161000
9892,3,1994,1803,0,2,1,2,390,2012,285000
12961,3,1993,1152,645,2,1,2,758,3492,231000
13008,2,1956,882,0,1,0,1,400,1858,124500
10200,4,1974,1434,0,2,1,2,564,4730,157000
13860,4,1972,2000,704,2,1,2,499,3160,345000
10179,3,1997,945,663,2,0,2,495,2896,189500
11792,4,2003,1008,1275,2,0,3,528,3321,270000
8400,3,1996,958,670,2,0,2,396,1766,189000
14892,3,2006,1746,0,2,1,3,427,2550,377500
8530,3,1995,804,670,2,0,2,440,2588,168500
7296,1,2004,2522,0,2,1,2,380,2370,375000
5664,2,2000,1659,0,2,1,2,420,2150,278000
7380,2,1998,1478,0,2,1,2,409,2223,240000
8013,2,1995,1734,0,2,1,2,430,2371,239500
8923,3,1998,751,631,2,0,2,389,2401,177500
10141,3,1998,885,833,2,0,2,343,2183,185000
7500,3,1998,952,684,2,1,2,400,2325,191000
7837,3,1993,799,772,2,0,2,490,2961,178000
9765,3,1993,680,790,2,0,2,500,2866,185000
8803,3,1994,707,809,2,1,2,565,2580,181316
7250,3,1993,1190,0,2,0,2,1166,4450,166000
9636,3,1992,808,785,2,0,2,834,4092,178000
8125,3,1994,702,779,2,0,2,430,3060,174000
9248,3,1992,1167,0,2,1,2,567,3056,173000
10762,3,1999,1005,978,2,0,2,484,3198,225000
11851,3,1990,1442,0,2,0,2,435,2948,180500
5814,1,1984,1360,0,1,1,2,544,2797,187500
17423,1,2008,2234,0,2,1,3,529,3204,501837
11844,3,2008,2046,0,2,0,3,529,2882,372500
16158,3,2005,1530,0,2,1,2,484,3098,260000
11900,3,1977,946,988,2,1,2,441,3716,185000
13005,4,1980,1153,1200,2,1,2,588,2844,260000
17043,3,1979,1586,0,2,0,2,479,2847,181000
11900,3,1977,1411,0,2,0,2,542,5048,82500
16635,3,1977,1602,0,2,0,2,478,2872,215000
13250,4,1978,1154,896,2,0,2,479,2460,154000
10928,3,1978,1671,0,2,0,2,484,2648,200000
12388,4,1980,1539,1134,2,0,2,581,2810,249000
14115,3,1980,1472,0,2,1,2,552,2767,187500
11088,3,1978,1707,0,2,0,2,588,2932,184000
9600,4,1981,2524,0,2,1,2,565,2783,278000
11880,3,1978,1601,0,2,0,2,478,3242,157000
10400,3,1976,1370,0,2,0,2,528,2232,152000
10304,4,1976,1088,780,2,1,2,506,2369,197500
7000,3,2003,1016,868,2,1,2,478,2414,240900
8004,3,2009,832,1103,2,1,2,583,2808,263435
7500,3,2000,1058,816,2,0,2,0,2688,220000
8470,3,2002,972,839,2,0,2,902,2004,235000
9373,3,1975,1621,0,2,1,2,440,2052,213000
10140,3,1974,1116,0,2,1,2,477,2360,167900
11050,3,1975,1193,0,2,0,2,336,2093,158000
10140,3,1974,1350,0,2,0,2,576,1728,165000
10448,3,1972,1378,741,2,0,2,660,1728,158000
9000,4,1974,896,896,2,0,0,463,1728,136000
8750,3,1970,1002,0,1,1,2,576,1728,148500
7930,3,1969,1026,0,1,1,2,576,1728,156000
7830,2,1970,1180,0,1,0,2,264,1470,128000
8510,3,1971,1050,0,1,1,1,440,2130,143000
7038,3,1970,864,0,1,1,2,280,1932,76500
6960,3,1970,864,0,1,0,2,288,1470,120500
8120,3,1970,864,0,1,0,2,264,1470,124500
10500,2,1971,864,0,1,0,2,264,1932,97000
9000,3,1971,864,0,1,0,2,440,1916,130000
1680,2,1973,483,504,1,1,1,440,2352,111000
2368,3,1970,765,600,1,0,2,440,2311,125000
1680,3,1971,630,672,2,0,1,440,2112,112000
1680,2,1972,483,504,1,1,1,440,2177,97000
1680,2,1972,483,504,1,0,1,440,2311,118000
1680,3,1972,630,672,2,0,1,440,2352,119500
4928,2,1976,958,0,2,0,2,440,2296,143750
2308,3,1976,804,744,2,0,2,440,2311,146000
2280,3,1976,855,601,2,0,2,345,1672,148500
2280,2,1975,1055,0,2,0,2,288,1784,123000
2308,3,1974,855,467,2,0,2,656,1984,147000
2349,3,1977,855,601,2,0,2,786,3418,137900
2364,3,1978,804,744,2,0,2,754,4548,147000
2289,3,1978,855,586,2,0,2,820,5066,148500
2364,3,1978,855,601,2,0,2,672,5496,138000
2104,2,1976,836,0,1,0,1,840,3304,128500
7150,3,1967,892,0,1,0,1,890,3166,100000
10710,3,1966,1120,0,1,0,2,1390,4084,148800
12456,3,2006,1718,0,2,1,3,864,4055,337500
14257,4,2007,1794,978,3,1,3,836,3288,462000
13518,4,2008,1966,1174,3,0,3,896,4040,485000
15431,2,2008,2402,0,2,1,3,900,4026,555000
13173,2,2006,1652,0,2,1,2,842,4018,325000
14230,3,2007,1600,0,2,0,3,762,5304,256300
12704,3,2008,2042,0,2,0,3,1020,4556,253293
12350,3,2009,1365,1325,2,1,3,834,3472,398800
11308,3,2008,1130,1054,2,1,3,932,3564,335000
12350,3,2008,2020,0,2,1,3,640,4028,404000
12220,3,2009,2020,0,2,1,3,908,3426,402861
13478,3,2008,1728,568,2,1,3,927,3482,451950
13693,2,2007,2674,0,2,2,3,856,3426,610000
13891,4,2008,1734,1088,3,0,3,700,3035,582933
11578,3,2008,1736,0,2,0,3,850,3582,360000
16870,3,2004,1782,0,2,1,3,738,3686,296000
23303,5,2007,1508,1012,2,1,3,862,3672,409900
11146,3,2006,1717,0,2,0,3,880,4835,255500
10367,3,2008,1743,0,2,1,3,583,3520,335000
9591,3,2004,1713,0,2,1,3,644,3004,274900
10872,2,2006,1531,0,2,1,3,968,4784,300000
13514,3,2008,1808,0,2,1,3,886,4904,324000
8834,4,2004,1462,762,2,1,3,730,3482,350000
11362,3,2004,1836,0,2,1,3,871,3204,280000
10655,3,2003,1629,0,2,1,3,484,2716,284000
12878,3,2003,1760,0,2,1,2,624,2612,269500
9541,3,2009,1502,0,2,0,2,624,2612,233170
13472,3,2003,2392,0,2,0,3,484,2708,386250
15274,3,2003,2452,0,2,2,3,626,2628,445000
13262,4,2003,1105,1295,3,0,3,949,4984,290000
9658,3,2006,1606,0,2,0,3,685,4400,255900
6904,2,2005,1358,0,2,0,2,649,3768,213000
5381,1,2005,1306,0,2,1,2,539,2907,196000
5122,1,2005,1306,0,2,1,2,701,3424,184500
10307,2,2007,1358,0,2,1,2,550,2648,212500
5001,2,2007,1314,0,2,1,2,478,2810,230000
14836,2,2004,2492,0,2,1,3,474,2390,552000
15262,3,2003,2200,0,2,1,3,390,2184,382500
7390,2,2008,1884,0,2,1,2,392,2235,320000
6472,2,2008,1456,0,2,0,2,390,2226,248500
16770,3,2002,1712,0,2,1,3,400,2244,286500
6240,2,2006,1324,0,2,1,2,660,2928,254000
3480,2,2003,1405,0,2,0,2,660,2955,173000
2268,2,2003,764,862,2,0,2,430,2928,173000
10928,3,2005,728,728,2,0,2,457,2850,184000
8918,3,2005,745,745,2,0,2,397,2440,167800
12589,3,2005,742,742,2,0,2,397,2290,174000
11911,3,2005,684,876,2,0,2,432,2148,174000
3684,2,2007,1555,0,2,0,3,390,3277,174000
3635,1,2007,1569,0,2,0,3,400,1758,175900
3182,2,2005,1555,0,2,0,2,436,2498,192500
3182,1,2005,1504,0,2,0,2,527,1827,181000
3182,2,2005,1220,0,2,0,2,434,2440,180000
3182,2,2005,1145,0,2,0,2,400,2271,160200
7795,3,2004,716,716,2,1,2,393,2040,188500
8068,4,2002,1010,1257,2,0,2,626,2628,200000
9434,3,2004,744,630,2,0,2,554,3208,170000
7984,3,2004,868,762,2,0,2,644,2874,189500
7750,3,2002,779,640,2,1,2,390,3046,184100
10125,3,2004,846,748,2,0,2,400,1758,195500
8965,3,2003,806,683,2,1,2,463,2782,192000
8174,3,2003,698,644,2,1,2,394,2308,178000
5063,2,2007,1314,0,2,1,2,400,1814,207500
8795,4,2000,980,1276,2,0,2,658,3489,236000
12891,4,2002,878,1126,2,1,3,502,2516,257500
12224,3,2000,1022,1032,2,1,2,390,3052,244000
9734,3,2004,744,630,2,0,2,410,1814,167000
8123,3,2000,1007,793,2,0,2,856,3617,179000
8433,3,2000,819,695,2,1,2,810,4256,190000
7750,3,1999,774,656,2,0,2,810,4142,156000
15896,4,1999,1223,1089,2,1,3,1069,3734,245000
24682,3,1999,892,783,2,0,2,676,3837,181000
8755,3,1999,1022,1038,2,1,2,889,3608,214000
7848,3,1999,774,656,2,0,2,815,4087,168000
9430,3,1999,1268,1097,2,1,3,656,3993,337000
15138,4,1995,1490,1304,2,1,3,647,3131,403000
12720,4,2000,1466,1221,2,1,3,623,3405,327000
16545,3,1998,1310,1140,2,1,3,711,4077,340000
12203,4,1998,1276,1336,2,1,3,467,2823,336000
10208,3,1996,1277,1067,2,0,3,898,2936,265000
10750,3,1994,2063,0,2,1,3,972,3392,315000
9900,4,1993,1372,1274,2,1,3,726,3272,260000
9085,3,1995,1094,967,2,1,2,840,3151,260000
11692,3,1993,1215,1017,2,1,2,844,3404,263550
46589,4,1994,1686,762,2,1,3,492,2854,402000
29959,3,1994,979,871,2,0,2,689,3084,248000
9612,3,2008,1468,0,2,0,3,795,4948,244600
11194,3,2008,1696,0,2,0,3,644,2752,275000
10206,3,2008,1658,0,2,0,3,676,2358,257500
9262,3,2008,1578,0,2,0,3,676,2436,287090
10130,3,2007,1702,0,2,1,3,529,2872,275500
9139,3,2006,1432,0,2,0,2,552,2614,245000
9675,3,2005,1113,858,2,0,2,625,2804,253000
11128,2,2005,2490,0,2,1,3,984,3060,468000
8640,3,2009,932,920,2,1,2,478,3532,252678
9000,3,2008,786,804,2,0,2,692,2820,210000
7862,2,2009,1218,0,2,0,2,812,3024,208300
7993,3,2008,1436,0,2,0,2,782,2695,225000
